concessionaria;identificador;rodovia;uf;km_m;municipio;tipo_de_pista;latitude;longitude;data_de_passagem;sentido_da_passagem;faixa_da_passagem;faixa_de_velocidade;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"121 - 140 KM/h";"Moto";33
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"121 - 140 KM/h";"Veículo leve";139
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"121 - 140 KM/h";"Veículo pesado";4
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"141 - 160 KM/h";"Moto";2
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"141 - 160 KM/h";"Veículo leve";25
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"141 - 160 KM/h";"Veículo pesado";7
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"21 - 50 KM/h";"Moto";29
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"21 - 50 KM/h";"Veículo leve";800
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"21 - 50 KM/h";"Veículo pesado";549
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"51 - 80 KM/h";"Moto";726
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"51 - 80 KM/h";"Não Identificado";1
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"51 - 80 KM/h";"Veículo leve";12612
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"51 - 80 KM/h";"Veículo pesado";2798
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"81 - 100 KM/h";"Moto";821
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"81 - 100 KM/h";"Veículo leve";10276
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"81 - 100 KM/h";"Veículo pesado";369
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"<= 20 KM/h";"Moto";3
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"<= 20 KM/h";"Não Identificado";1
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"<= 20 KM/h";"Veículo leve";4
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"<= 20 KM/h";"Veículo pesado";1
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"> 160 KM/h";"Veículo leve";9
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"24/03/2022";"Crescente";1;"> 160 KM/h";"Veículo pesado";7
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"101 - 120 KM/h";"Moto";246
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"101 - 120 KM/h";"Veículo leve";2338
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"101 - 120 KM/h";"Veículo pesado";27
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"121 - 140 KM/h";"Moto";36
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"121 - 140 KM/h";"Veículo leve";147
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"121 - 140 KM/h";"Veículo pesado";7
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"141 - 160 KM/h";"Moto";2
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"141 - 160 KM/h";"Veículo leve";14
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"141 - 160 KM/h";"Veículo pesado";9
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"21 - 50 KM/h";"Moto";33
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"21 - 50 KM/h";"Veículo leve";865
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"21 - 50 KM/h";"Veículo pesado";407
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"51 - 80 KM/h";"Moto";738
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"51 - 80 KM/h";"Veículo leve";14085
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"51 - 80 KM/h";"Veículo pesado";2611
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"81 - 100 KM/h";"Moto";872
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"81 - 100 KM/h";"Veículo leve";11623
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"81 - 100 KM/h";"Veículo pesado";347
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"<= 20 KM/h";"Moto";7
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"<= 20 KM/h";"Não Identificado";1
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"<= 20 KM/h";"Veículo leve";2
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"> 160 KM/h";"Veículo leve";12
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"25/03/2022";"Crescente";1;"> 160 KM/h";"Veículo pesado";14
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"101 - 120 KM/h";"Moto";279
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"101 - 120 KM/h";"Veículo leve";2902
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"101 - 120 KM/h";"Veículo pesado";10
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"121 - 140 KM/h";"Moto";75
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"121 - 140 KM/h";"Veículo leve";207
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"121 - 140 KM/h";"Veículo pesado";4
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"141 - 160 KM/h";"Moto";16
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"141 - 160 KM/h";"Veículo leve";15
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"141 - 160 KM/h";"Veículo pesado";3
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"21 - 50 KM/h";"Moto";19
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"21 - 50 KM/h";"Veículo leve";267
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"21 - 50 KM/h";"Veículo pesado";234
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"51 - 80 KM/h";"Moto";596
