concessionaria;identificador;rodovia;uf;km_m;municipio;tipo_de_pista;latitude;longitude;data_de_passagem;sentido_da_passagem;faixa_da_passagem;faixa_de_velocidade;tipo_de_veiculo;volume_total
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"121 - 140 KM/h";"Veículo leve";429
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"121 - 140 KM/h";"Veículo pesado";4
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"141 - 160 KM/h";"Moto";3
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"141 - 160 KM/h";"Veículo leve";28
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"21 - 50 KM/h";"Moto";26
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"21 - 50 KM/h";"Veículo leve";8735
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"21 - 50 KM/h";"Veículo pesado";622
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"51 - 80 KM/h";"Moto";153
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"51 - 80 KM/h";"Veículo leve";5926
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"51 - 80 KM/h";"Veículo pesado";631
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"81 - 100 KM/h";"Moto";242
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"81 - 100 KM/h";"Veículo leve";8275
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"81 - 100 KM/h";"Veículo pesado";581
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"<= 20 KM/h";"Moto";1522
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"<= 20 KM/h";"Veículo leve";3035
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"<= 20 KM/h";"Veículo pesado";333
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"> 160 KM/h";"Moto";2
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"02/01/2022";"Decrescente";2;"> 160 KM/h";"Veículo leve";3
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"101 - 120 KM/h";"Moto";181
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"101 - 120 KM/h";"Veículo leve";5085
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"101 - 120 KM/h";"Veículo pesado";69
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"121 - 140 KM/h";"Moto";32
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"121 - 140 KM/h";"Veículo leve";561
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"121 - 140 KM/h";"Veículo pesado";4
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"141 - 160 KM/h";"Moto";2
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"141 - 160 KM/h";"Veículo leve";53
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"141 - 160 KM/h";"Veículo pesado";2
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"21 - 50 KM/h";"Moto";9
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"21 - 50 KM/h";"Veículo leve";2658
